player_id,match_id,rating,min_played,goals,assists,yellow_card,red_card
9,18,7.3,89,1,0,0,0
9,19,8.8,90,2,0,0,0
9,20,6.7,90,0,0,0,0
9,22,7.3,74,1,0,0,0
9,23,6.5,71,0,0,0,0
9,24,5.9,66,0,0,0,0
10,6,,3,0,0,0,0
10,10,6.5,28,0,0,0,0
10,11,6.8,24,0,0,0,0
10,12,6.7,76,0,0,1,0
10,13,,6,0,0,0,0
10,15,,6,0,0,0,0
10,17,6.7,22,0,0,0,0
11,1,7.2,90,0,0,0,0
11,2,7.7,90,0,0,0,0
11,3,7.2,90,0,1,0,0
11,4,9.5,90,3,1,0,0
11,5,7.6,90,0,0,0,0
11,6,6.2,90,0,0,0,0
11,7,8.5,90,2,0,0,0
11,8,6.8,90,0,0,1,0
11,9,6.9,32,0,0,0,0
11,10,8.9,90,1,1,0,0
11,11,8.0,90,0,2,0,0
11,12,8.6,66,0,1,0,0
11,13,9.1,75,3,0,0,0
11,14,8.2,90,1,1,0,0
11,15,8.0,85,1,0,0,0
11,16,9.8,58,1,2,0,0
11,17,6.6,90,0,0,0,0
11,18,7.6,90,1,0,0,0
11,19,7.6,90,0,0,0,0
11,20,8.2,90,1,0,0,0
11,21,8.6,87,2,0,0,0
11,22,7.3,60,0,0,0,0
11,23,8.1,71,1,0,0,0
11,24,7.7,90,0,0,0,0
12,7,6.8,45,0,0,0,0
12,8,6.7,90,0,0,0,0
12,9,5.2,90,0,0,0,0
12,10,6.8,90,0,0,0,0
12,11,7.1,90,0,0,0,0
12,12,6.3,90,0,0,0,0
12,13,7.1,90,0,0,0,0
12,14,7.3,90,0,0,1,0
12,15,6.8,90,0,0,0,0
12,16,6.1,90,0,0,0,0
12,17,7.2,90,0,0,0,0
12,18,7.4,90,0,0,0,0
12,19,7.0,90,0,0,0,0
12,20,5.9,90,0,0,0,0
12,21,6.3,90,0,0,0,0
12,22,6.8,90,0,0,0,0
12,23,6.4,90,0,0,0,0
12,24,6.6,90,0,0,0,0
13,4,,8,0,0,0,0
13,6,,8,0,0,0,0
